CUSEC;DISTRITO;TIPO;Shape_Area;M2V;HMC;PSH;PSV;V5P;PTV5
5029703024;03;SECCION CENSAL;25962.6330277;75.0180442374855;25.3228026775319;2.53392330383481;2.96206896551724;33.8766006984866;15.0
5029703025;03;SECCION CENSAL;34359.5777985;72.18984375;28.8132743611971;2.3;2.53045186640472;26.8633540372671;9.82318271119843
5029703026;03;SECCION CENSAL;41071.2494538;90.459324155194;36.9963799830924;2.20718232044199;2.36390532544379;13.2665832290363;5.32544378698225
5029703027;03;SECCION CENSAL;21404.3113763;65.9220679012346;29.1038884430967;2.10048622366288;2.25391304347826;26.1574074074074;9.56521739130435
5029703028;03;SECCION CENSAL;19714.9278927;71.650406504065;27.7888234134054;2.29668049792531;2.56844547563805;30.3523035230352;12.0649651972158
5029703029;03;SECCION CENSAL;119200.237994;83.7553516819572;33.9283928833824;2.25753424657534;2.42709867452135;18.5679611650485;6.77466863033873
5029703030;03;SECCION CENSAL;93433.9957225;118.897681854516;50.0789589354155;2.2940108892922;2.36704119850187;3.79746835443038;1.12359550561798
5029703032;03;SECCION CENSAL;26309.8478001;68.5570427023582;25.7168953848146;2.35232383808096;2.64586846543002;30.8476736775016;12.4789207419899
5029703033;03;SECCION CENSAL;17820.5513855;65.951871657754;23.5818063175683;2.35714285714286;2.75675675675676;35.7397504456328;15.970515970516
5029703034;03;SECCION CENSAL;23684.1276383;68.8855656697009;23.7025800501507;2.52131147540984;2.87476635514019;35.1755526657997;15.7009345794393
5029703035;03;SECCION CENSAL;25761.6099739;70.1517615176152;24.9170484363574;2.35191082802548;2.78679245283019;33.5815842924848;13.5849056603774
5029703036;03;SECCION CENSAL;28247.0438284;72.8769792935445;27.9868223471686;2.35919540229885;2.62300319488818;27.4665042630938;11.0223642172524
5029703037;03;SECCION CENSAL;20861.8981483;77.5809917355372;28.4958911163553;2.4248496993988;2.69487750556793;31.9834710743802;12.2494432071269
5029703038;03;SECCION CENSAL;16534.0625676;73.6231721034871;27.3235931866624;2.32722513089005;2.68580060422961;24.29696287964;9.66767371601208
5029703039;03;SECCION CENSAL;23265.8760479;78.0582586427657;30.8519666130155;2.34887218045113;2.54397394136808;23.4314980793854;9.28338762214984
5029703040;03;SECCION CENSAL;14170.8361606;71.4043583535109;29.8301816837468;2.16187989556136;2.34560906515581;17.512077294686;6.79886685552408
5029703041;03;SECCION CENSAL;23417.3564219;78.3884688090737;30.9292194809169;2.31509846827133;2.52505966587112;16.6351606805293;6.68257756563246
5029703042;03;SECCION CENSAL;24017.0196646;70.6859437751004;28.5279315477899;2.30983302411874;2.49;22.2489959839357;8.6
5029703043;03;SECCION CENSAL;166008.439334;80.988864142539;32.3043257111334;2.44851657940663;2.60780669144981;16.2508909479686;6.13382899628253
5029703044;03;SECCION CENSAL;18737.5659238;74.475620975161;25.7937760716057;2.56367924528302;2.79434447300771;27.8748850045998;12.0822622107969
5029703045;03;SECCION CENSAL;20745.4009658;74.7528409090909;27.6155790236735;2.44869565217391;2.68190476190476;25.0710227272727;10.4761904761905
5029703046;03;SECCION CENSAL;37634.7083143;85.3835758835759;35.2974630432538;2.3562945368171;2.48;13.7096774193548;5.0
5029703047;03;SECCION CENSAL;36809.702383;87.7728136882129;37.6215573340419;2.27813163481953;2.3530701754386;6.33737185461323;2.41228070175439
5029703048;03;SECCION CENSAL;83317.9178191;65.6699770817418;27.5582781646047;2.22644628099174;2.40106951871658;24.0534521158129;9.62566844919786
5029703049;03;SECCION CENSAL;34906.3789462;69.5671206225681;31.1326610167412;2.14166666666667;2.24454148471616;17.6070038910506;6.55021834061135
5029703051;03;SECCION CENSAL;27173.3899331;58.0;22.9823026840758;2.26215277777778;2.52519379844961;25.7866462010744;10.077519379845
